,City,Lat,Long,Max_Temp,Date,Humidity,Cloudiness,Wind_Speed,Country
0,hermanus,-34.42,19.23,13.89,1592761860,90,65,2.35,ZA
1,yerbogachen,61.28,108.01,18.12,1592761860,55,61,1.77,RU
2,bredasdorp,-34.53,20.04,15.0,1592761860,93,81,0.97,ZA
3,port elizabeth,-33.92,25.57,16.0,1592761634,77,0,5.7,ZA
4,assiniboia,49.63,-105.98,17.03,1592761729,54,13,3.27,CA
5,mataura,-46.19,168.86,-0.1,1592761861,96,48,0.8,NZ
6,busselton,-33.65,115.33,13.33,1592761861,50,0,7.57,AU
7,henties bay,-22.12,14.28,16.67,1592761861,78,11,2.24,NA
8,kapaa,22.08,-159.32,25.0,1592761861,78,40,4.6,US
9,port augusta,-32.5,137.77,12.0,1592761861,87,13,3.6,AU
10,rikitea,-23.12,-134.97,21.75,1592761862,73,75,7.68,PF
11,bacungan,9.91,118.7,27.28,1592761862,82,65,1.7,PH
12,la ronge,55.1,-105.28,15.0,1592761862,54,20,3.6,CA
13,batemans bay,-35.72,150.18,6.11,1592761862,89,2,2.12,AU
14,arraial do cabo,-22.97,-42.03,29.0,1592761862,65,0,6.2,BR
15,huarmey,-10.07,-78.15,20.86,1592761862,65,55,4.01,PE
16,olafsvik,64.89,-23.71,14.11,1592761862,61,35,8.48,IS
17,roald,62.58,6.13,16.11,1592761862,93,75,4.1,NO
18,punta arenas,-53.15,-70.92,3.0,1592761641,93,75,4.6,CL
19,nome,64.5,-165.41,15.56,1592761863,82,90,2.1,US
20,algiers,36.75,3.04,28.0,1592761576,42,0,3.6,DZ
21,ushuaia,-54.8,-68.3,3.0,1592761659,80,40,4.1,AR
22,saint george,37.1,-113.58,33.89,1592761624,12,1,2.62,US
23,qaanaaq,77.48,-69.36,4.07,1592761863,73,58,1.62,GL
24,cape town,-33.93,18.42,16.11,1592761730,93,75,2.1,ZA
25,faya,18.39,42.45,25.0,1592761863,49,20,3.6,SA
26,monrovia,6.3,-10.8,26.18,1592761733,87,83,4.41,LR
27,jamestown,42.1,-79.24,27.0,1592761863,51,75,3.6,US
28,tilichiki,60.47,166.1,14.43,1592761863,73,32,1.9,RU
29,padang,-0.95,100.35,25.26,1592761864,84,78,3.5,ID
30,biloela,-24.42,150.5,15.47,1592761864,70,75,1.63,AU
31,yellowknife,62.46,-114.35,23.89,1592761864,52,20,8.2,CA
32,atakpame,7.53,1.13,24.45,1592761864,92,94,2.97,TG
33,albany,42.6,-73.97,32.78,1592761864,43,3,1.79,US
34,tahoua,14.89,5.27,36.0,1592761864,30,46,2.1,NE
35,pisco,-13.7,-76.22,18.0,1592761864,82,90,3.1,PE
36,hirara,24.8,125.28,28.66,1592761864,84,100,6.29,JP
37,new norfolk,-42.78,147.06,12.22,1592761865,93,100,0.89,AU
38,dingle,11.0,122.67,25.65,1592761865,83,62,1.63,PH
40,bethel,41.37,-73.41,30.0,1592761590,55,47,0.45,US
41,kaitangata,-46.28,169.85,1.03,1592761865,89,29,1.73,NZ
42,quatre cocos,-20.21,57.76,22.78,1592761865,78,40,6.7,MU
43,broome,42.25,-75.83,28.33,1592761866,54,1,3.6,US
44,tasiilaq,65.61,-37.64,9.0,1592761866,76,100,3.1,GL
45,thinadhoo,0.53,72.93,28.95,1592761835,73,82,3.28,MV
46,mar del plata,-38.0,-57.56,15.0,1592761596,58,11,5.7,AR
47,bluff,-46.6,168.33,3.73,1592761866,82,49,1.97,NZ
48,kruisfontein,-34.0,24.73,12.73,1592761866,87,0,3.03,ZA
49,junin,-34.58,-60.94,16.67,1592761866,53,5,3.58,AR
50,baruun-urt,46.68,113.28,15.2,1592761866,87,100,7.18,MN
51,ribeira grande,38.52,-28.7,21.0,1592761866,83,20,5.1,PT
52,kargil,34.57,76.1,11.79,1592761867,49,61,1.91,IN
53,east london,-33.02,27.91,18.8,1592761835,64,0,7.21,ZA
54,atar,20.52,-13.05,42.88,1592761867,9,37,8.49,MR
55,tsabong,-26.02,22.4,12.98,1592761867,39,70,2.15,BW
56,alice springs,-23.7,133.88,3.0,1592761867,59,0,0.5,AU
58,saint-philippe,-21.36,55.77,20.0,1592761867,82,75,2.1,RE
59,los llanos de aridane,28.66,-17.92,25.0,1592761604,65,40,5.1,ES
61,kahului,20.89,-156.47,24.0,1592761868,73,40,3.1,US
62,pleshanovo,52.83,53.48,12.18,1592761868,77,4,5.22,RU
63,kununurra,-15.77,128.73,20.0,1592761868,37,0,2.6,AU
64,shimoda,34.67,138.95,17.78,1592761868,94,100,2.24,JP
65,dinghai,26.28,119.79,27.0,1592761868,88,100,4.0,CN
66,namibe,-15.2,12.15,21.84,1592761868,63,0,6.05,AO
67,baryshivka,50.36,31.32,27.0,1592761868,51,79,4.0,UA
68,castro,-24.79,-50.01,22.55,1592761868,54,0,4.14,BR
69,conceicao do araguaia,-8.26,-49.26,32.0,1592761868,46,5,3.6,BR
70,hilo,19.73,-155.09,23.33,1592761868,56,40,3.6,US
71,khatanga,71.97,102.5,17.53,1592761869,57,42,5.76,RU
72,praia da vitoria,38.73,-27.07,23.0,1592761869,69,40,4.95,PT
73,lebu,-37.62,-73.65,11.32,1592761869,78,66,3.43,CL
74,sitka,57.05,-135.33,11.0,1592761869,76,75,2.19,US
75,marsh harbour,26.54,-77.06,28.04,1592761624,73,97,2.76,BS
76,posse,-14.09,-46.37,26.94,1592761624,30,97,3.94,BR
77,ponta do sol,32.67,-17.1,24.0,1592761869,64,20,8.2,PT
78,port lincoln,-34.73,135.87,12.77,1592761869,79,22,6.3,AU
79,talnakh,69.49,88.4,9.0,1592761606,66,56,4.0,RU
80,narsaq,60.92,-46.05,16.0,1592761870,36,100,2.6,GL
81,meulaboh,4.14,96.13,24.66,1592761870,92,100,1.94,ID
82,general pico,-35.66,-63.76,15.43,1592761870,32,18,3.73,AR
83,chokurdakh,70.63,147.92,23.15,1592761870,40,0,2.12,RU
84,fare,-16.7,-151.02,25.7,1592761870,80,86,10.71,PF
86,cabo san lucas,22.89,-109.91,33.0,1592761804,27,5,4.1,MX
87,evensk,61.95,159.23,14.22,1592761870,63,10,0.6,RU
88,paamiut,61.99,-49.67,5.2,1592761871,84,34,6.36,GL
89,sheridan,44.83,-106.92,21.11,1592761871,43,75,2.6,US
90,zonguldak,41.25,31.83,16.96,1592761871,83,52,0.86,TR
91,mana,5.66,-53.78,28.91,1592761871,68,12,5.13,GF
92,llandrindod wells,52.24,-3.38,17.78,1592761871,73,7,3.58,GB
93,berlevag,70.86,29.09,7.0,1592761871,93,75,2.6,NO
94,port alfred,-33.59,26.89,17.22,1592761871,77,0,2.24,ZA
95,manyana,-23.4,21.72,12.38,1592761871,41,0,2.04,BW
96,torbay,47.67,-52.73,16.67,1592761872,54,75,5.1,CA
97,buala,-8.14,159.59,26.72,1592761872,79,69,2.08,SB
98,leningradskiy,69.38,178.42,7.52,1592761872,71,16,2.35,RU
99,losinyy,57.14,61.07,11.0,1592761872,62,90,5.0,RU
100,hobart,-42.88,147.33,13.0,1592761807,87,90,5.1,AU
101,luderitz,-26.65,15.16,15.0,1592761872,82,0,4.6,NA
102,mahebourg,-20.41,57.7,22.0,1592761872,78,40,6.7,MU
103,gazanjyk,39.24,55.52,28.22,1592761872,39,0,6.41,TM
104,atuona,-9.8,-139.03,26.8,1592761872,62,10,4.43,PF
105,nikolskoye,59.7,30.79,18.0,1592761873,48,0,4.0,RU
106,upernavik,72.79,-56.15,4.96,1592761873,72,94,3.05,GL
107,carnarvon,-24.87,113.63,15.0,1592761873,87,0,3.1,AU
108,bengkulu,-3.8,102.27,24.94,1592761873,89,91,2.36,ID
109,avarua,-21.21,-159.78,23.0,1592761873,64,100,3.6,CK
110,saint anthony,45.02,-93.22,28.33,1592761873,51,40,5.1,US
111,nanortalik,60.14,-45.24,7.07,1592761873,71,99,5.49,GL
112,szczytno,53.56,20.99,21.64,1592761845,86,78,2.66,PL
113,faanui,-16.48,-151.75,25.64,1592761873,81,94,10.63,PF
114,beloha,-25.17,45.05,20.66,1592761874,75,100,1.54,MG
115,tripoli,32.88,13.19,24.08,1592761874,55,0,3.23,LY
116,bathsheba,13.22,-59.52,31.0,1592761874,66,20,10.8,BB
117,soyo,-6.13,12.37,23.44,1592761874,81,0,3.61,AO
118,tautira,-17.73,-149.15,25.0,1592761874,83,40,1.5,PF
119,noumea,-22.28,166.46,15.0,1592761735,87,0,1.5,NC
120,summerside,46.4,-63.79,19.44,1592761874,78,82,0.89,CA
121,smoky lake,54.12,-112.47,14.44,1592761874,86,0,0.89,CA
122,boyolangu,-8.12,111.89,24.3,1592761874,88,82,1.9,ID
123,ilhabela,-23.78,-45.36,27.43,1592761874,58,3,1.8,BR
124,dikson,73.51,80.55,5.14,1592761875,78,76,4.13,RU
125,aktash,50.3,87.73,-1.4,1592761875,99,100,2.95,RU
126,sinnamary,5.38,-52.95,28.98,1592761875,65,19,5.33,GF
127,pedernales,18.04,-71.74,33.0,1592761875,66,20,6.2,DO
128,qandala,11.47,49.87,33.85,1592761875,46,96,1.08,SO
129,coracora,-15.03,-73.78,18.46,1592761875,24,7,3.87,PE
130,peniche,39.36,-9.38,24.44,1592761875,70,0,7.6,PT
131,hithadhoo,-0.6,73.08,28.95,1592761876,70,30,2.28,MV
132,kavaratti,10.57,72.64,28.74,1592761876,76,100,6.35,IN
133,folsom,38.68,-121.18,28.89,1592761876,44,1,1.5,US
134,marzuq,14.4,46.47,31.84,1592761876,31,21,1.66,YE
135,sibolga,1.74,98.78,23.94,1592761876,86,100,1.6,ID
136,flin flon,54.77,-101.86,17.0,1592761876,59,20,5.1,CA
137,shakawe,-18.37,21.85,14.24,1592761876,36,0,1.99,BW
138,richards bay,-28.78,32.04,16.89,1592761876,66,0,0.99,ZA
140,tuktoyaktuk,69.45,-133.04,4.0,1592761877,86,90,3.6,CA
141,san policarpo,12.18,125.51,27.96,1592761877,81,16,3.46,PH
142,the valley,18.22,-63.06,33.0,1592761877,70,40,6.7,AI
143,vila do maio,15.13,-23.22,30.0,1592761877,58,20,8.2,CV
